"","Brand","Vehicle","Engine","Engine.code","Torque..Nm.rpm.","Power..hp..","Power.kW..rpm.","Average.fuel.consumption..l.100.km.","CO2..g.km.","Weight.3p.5p..kg","Displacement","Compression.ratio","GearBox.type","Tyre","Traction.type"
"171","Peugeot","1007","1.4L HDi 70 hp","DV4 TD","160/2000",68,"50/4000",4.5,120,"1243","1399",27,"MT","195/50 R16","2wd"
"172","Peugeot","1007 2-Tronic","1.6L 110 hp","TU5","147/4000",109,"80/5750",6.6,156,"1216","1587",9,"AMT 5","195/50 R16","2wd"
"173","Peugeot","1007","1.6L HDi FAP 110 hp","DV6 TED4","240/1750",109,"80/4000",4.8,125,"1348","1560",28,"MT","195/50 R16","2wd"
"174","Peugeot","807 (2002) ST","2.0L HDi 110 hp","DW10 ATED","270/1750",107,"79/4000",7,186,"1743","1997",23,"MT","215/60 R16","2wd"
"175","Peugeot","807 (2002) SV","2.2L HDi 130 hp","DW12A","314/2000",128,"94/4000",7.3,195,"1783","2179",28,"MT 6","215/65 R15 H","2wd"
"176","Peugeot","807","2.0L 140 hp","EW10 J4","195/4000",140,"103/6000",9,213,"1709","1997",1,"MT","215/60 R16 H","2wd"
"177","Peugeot","807","2.0L HDi 120 hp","DW10","300/2000",120,"88/4000",6.9,182,"1811","1997",24,"MT 6","215/60 R16 H","2wd"
"178","Peugeot","807","2.0L HDi 136 hp FAP","DW10 TED4","320/2000",136,"100/4000",7.1,188,"1818","1997",26,"MT 6","215/60 R16","2wd"
"179","Peugeot","807","2.2L HDi 170 hp FAP","DW12B","370/1500",170,"125/4000",7.2,191,"1865","2179",21,"MT 6","215/60 R16","2wd"
"180","Peugeot","807","2.2L HDi 170 hp FAP AT","DW12B","370/1500",170,"125/4000",8.2,218,"1893","2179",21,"AT 6","215/60 R16","2wd"
"181","Peugeot","607","3.0L V6 210 hp AT","ES9","290/3750",211,"155/6000",10.2,242,"1719","2946",8,"AT 6","225/50 R17 Y","2wd"
"182","Peugeot","607","2.7L V6 HDi 200 hp FAP AT","DT17TED4 (LionV6)","440/1900",204,"150/4000",8.4,223,"1798","2721",24,"AT 6","225/50 R17 Y","2wd"
"183","Peugeot","4007","2.2L HDi 156 hp FAP","DW12B","380/2000",156,"115/4000",7.2,191,"1822","2179",21,"MT 6","215/70 R16","4wd"
"184","Peugeot","4007 Sport Pack.","2.2L HDi 156 hp FAP","DW12B","380/2000",156,"115/4000",7.3,194,"1822","2179",21,"MT 6","225/55 R18","4wd"
"185","Peugeot","4007","2.4L 170 hp hpT","4B12","232/4100",170,"125/6000",9.3,222,"1715","2360",5,"hpT","225/55 R18","4wd"
"186","Peugeot","407","1.8L 125 hp","EW7 J4","170/3750",125,"92/6000",7.7,181,"1475","1749",7,"MT","205/60 R16","2wd"
"187","Peugeot","407","1.6L Hdi FAP 110 hp","DV6 TED4","240/1750",109,"80/4000",4.9,129,"1505","1560",28,"MT","205/60 R16","2wd"
"188","Peugeot","407","2.0L 140 hp","EW10","200/4000",140,"103/6000",8.1,192,"1490","1997",7,"MT","215/55 R17","2wd"
"189","Peugeot","407","2.0L HDi FAP 140 hp","DW10","320/2000",140,"103/4000",5.7,150,"1580","1997",26,"MT 6","215/55 R17 W","2wd"
"190","Peugeot","407","2.2L HDi FAP 170 hp","DW12B","370/1500",170,"125/4000",6.1,159,"1699","2179",21,"MT 6","215/55 R17","2wd"
"191","Peugeot","407","2.0L HDi FAP 136 hp AT","DW10 TED4","320/2000",136,"100/4000",7.1,186,"1636","1997",26,"AT 6","215/55 R17","2wd"
"192","Peugeot","407","2.2L 163 hp","EW12 J4","220/4150",163,"120/5875",9,214,"1555","2231",7,"MT 6","215/55 R17","2wd"
"193","Peugeot","407","3.0L V6 211 hp AT","ES9 /A","290/3750",211,"155/6000",9.8,233,"1660","2946",8,"AT 6","235/45 R18","2wd"
"194","Peugeot","407","2.7L V6 HDi FAP 204 hp AT","DT17TED4 (LionV6)","440/1900",204,"150/4000",8.4,223,"1802","2721",24,"AT 6","235/45 R18","2wd"
"195","Peugeot","407 SW","2.0L 140 hp","EW10","200/4000",140,"103/6000",8.3,196,"1533","1997",7,"MT","215/55 R17","2wd"
"196","Peugeot","407 SW","1.6L HDi FAP 110 hp","DV6 TED4","240/1750",109,"80/4000",4.9,129,"1545","1560",28,"MT","205/60 R16","2wd"
"197","Peugeot","407 SW","2.0L HDi FAP 140 hp","DW10","320/2000",140,"103/4000",5.7,150,"1620","1997",26,"MT 6","215/55 R17 W","2wd"
"198","Peugeot","407 SW","2.2L 163 hp","EW12 J4","220/4150",163,"120/5875",9.2,219,"1610","2231",7,"MT 6","215/55 R17","2wd"
"199","Peugeot","407 SW","2.0L HDi FAP 136 hp AT","DW10 TED4","320/2000",136,"100/4000",7.2,192,"1676","1997",26,"AT 6","215/55 R17","2wd"
"200","Peugeot","407 SW","2.2L HDi FAP 170 hp","DW12B","370/1500",170,"125/4000",6.2,165,"1750","2179",21,"MT 6","215/55 R17","2wd"
"201","Peugeot","407 SW","3.0L V6 211 hp AT","ES9 /A","290/3750",211,"155/6000",9.9,236,"1715","2946",8,"AT 6","235/45 R18","2wd"
"202","Peugeot","407 SW","2.7L V6 HDi FAP 204 hp AT","DT17TED4 (LionV6)","440/1900",204,"150/4000",8.5,225,"1852","2721",24,"AT 6","235/45 R18","2wd"
"203","Peugeot","407 coupé","2.2L 163 hp","EW12 J4","220/4150",163,"120/5875",9.2,219,"1600","2231",7,"MT 6","215/55 R17 W","2wd"
"204","Peugeot","407 coupé Pack.","2.2L 163 hp","EW12 J4","220/4150",163,"120/5875",9.2,219,"1600","2231",7,"MT 6","235/45 R18 Y","2wd"
"205","Peugeot","407 coupé","3.0L V6 210 hp","ES9","290/3750",211,"155/6000",10.2,242,"1687","2946",8,"MT 6","235/45 R18 Y","2wd"
"206","Peugeot","407 coupé","3.0L V6 210 hp AT","ES9","290/3750",211,"155/6000",10.2,242,"1712","2946",8,"AT 6","235/45 R18 Y","2wd"
"207","Peugeot","407 coupé","2.7L HDi V6 204 hp FAP AT","DT17TED4 (LionV6)","440/1900",204,"150/4000",8.5,226,"1799","2721",24,"AT 6","235/45 R18 Y","2wd"
"208","Peugeot","308","1.4L VTi 95 hp","EP3","136/4000",95,"70/6000",6.5,155,"1337/1346","1397",9,"MT","195/65 R15","2wd"
"209","Peugeot","308","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.5,120,"1368/1378","1560",28,"MT","195/65 R15","2wd"
"210","Peugeot","308 Sport","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.5,120,"1368/1378","1560",28,"MT","205/55 R16","2wd"
"211","Peugeot","308","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.7,159,"1352/1362","1598",9,"MT","195/65 R15","2wd"
"212","Peugeot","308 Sport","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.7,159,"1352/1362","1598",9,"MT","205/55 R16","2wd"
"213","Peugeot","308 Prem. 5p","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.7,159,"1362","1598",9,"MT","225/45 R17","2wd"
"214","Peugeot","308 Sport 5p","1.6L VTi 120 hp AT","EP6","160/4250",120,"88/6000",7,165,"1387","1598",9,"AT 4","205/55 R16","2wd"
"215","Peugeot","308","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.5,120,"?/?","1560",28,"MT","195/65 R15","2wd"
"216","Peugeot","308 Sport","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.5,120,"?/?","1560",28,"MT","205/55 R16","2wd"
"217","Peugeot","308 Prem. 5p","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.9,130,"1397","1560",28,"MT 6","225/45 R17","2wd"
"218","Peugeot","308","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7,165,"?/?","1598",5,"MT 6","205/55 R16","2wd"
"219","Peugeot","308 Sport","1.6L HDi FAP 110 hp CMP","DV6","240/1750",109,"80/4000",4.5,120,"1399/1409","1560",28,"AT 6","205/55 R16","2wd"
"220","Peugeot","308","2.0L HDi FAP 136 hp","DW10","320/2000",136,"100/4000",5.3,140,"1483/1496","1997",26,"MT 6","205/55 R16","2wd"
"221","Peugeot","308 Prem. 5p","2.0L HDi FAP 136 hp","DW10","320/2000",136,"100/4000",5.5,146,"1496","1997",26,"MT 6","225/45 R17","2wd"
"222","Peugeot","308 GT","2.0L HDi FAP 136 hp","DW10","320/2000",136,"100/4000",5.5,146,"1483","1997",26,"MT 6","205/55 R16","2wd"
"223","Peugeot","308 Prem. 5p","2.0L HDi FAP 136 hp AT","DW10","320/2000",136,"100/4000",6.8,180,"1522","1997",26,"AT 6","225/45 R17","2wd"
"224","Peugeot","308 Prem. 5p","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7.2,171,"?","1598",5,"MT 6","225/45 R17","2wd"
"225","Peugeot","308 GT","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7.2,171,"?","1598",5,"MT 6","225/40 R18","2wd"
"226","Peugeot","308 GT","1.6L THP 175 hp","EP6T","240/1600-4500",174,"128/6000",7.6,180,"1446","1598",5,"MT 6","225/40 R18","2wd"
"227","Peugeot","308 SW","1.4L VTi 95 hp","EP3","136/4000",95,"70/6000",6.7,159,"1426","1397",9,"MT","195/65 R15","2wd"
"228","Peugeot","308 SW","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.7,125,"1453","1560",28,"MT","195/65 R15","2wd"
"229","Peugeot","308 SW","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.9,164,"1515","1598",9,"MT","195/65 R15","2wd"
"230","Peugeot","308 SW Sport","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.9,164,"1515","1598",9,"MT","205/55 R16","2wd"
"231","Peugeot","308 SW","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.9,129,"1482 or 1570","1560",28,"MT 6","195/65 R15","2wd"
"232","Peugeot","308 SW Sport","1.6L VTi 120 hp AT","DV6","160/4250",120,"88/6000",7.7,182,"1541","1598",9,"AT 4","205/55 R16","2wd"
"233","Peugeot","308 SW Prem.","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.9,164,"1515","1598",9,"MT","225/45 R17","2wd"
"234","Peugeot","308 SW","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7.5,177,"1561","1598",5,"MT 6","215/55 R16","2wd"
"235","Peugeot","308 SW Sport","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.9,130,"1570","1560",28,"MT 6","205/55 R16","2wd"
"236","Peugeot","308 SW Prem.","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7.5,177,"1561","1598",5,"MT 6","225/45 R17","2wd"
"237","Peugeot","308 SW","2.0L HDi FAP 136 hp","DW10","320/2000",136,"100/4000",5.9,155,"1650","1997",26,"MT 6","215/55 R16","2wd"
"238","Peugeot","308 SW Prem.","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.9,130,"1570","1560",28,"MT 6","225/45 R17","2wd"
"239","Peugeot","308 SW Prem.","1.6L THP 140 hp AT","EP6T","240/1400-3500",140,"103/6000",8.2,194,"1577","1598",5,"AT 4","225/45 R17","2wd"
"240","Peugeot","308 SW Prem.","2.0L HDi FAP 136 hp","DW10","320/2000",136,"100/4000",5.9,155,"1650","1997",26,"MT 6","225/45 R17","2wd"
"241","Peugeot","308 SW Sport","2.0L HDi FAP 136 hp AT","DW10","320/2000",136,"100/4000",7.1,187,"1675","1997",26,"AT 6","215/55 R16","2wd"
"242","Peugeot","308 SW Prem.","2.0L HDi FAP 136 hp AT","DW10","320/2000",136,"100/4000",7.1,187,"1675","1997",26,"AT 6","225/45 R17","2wd"
"243","Peugeot","308 CC","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7.5,177,"1587","1598",5,"MT 6","225/45 R17","2wd"
"244","Peugeot","308 CC","2.0L HDi FAP 140 hp","DW10","320/2000",140,"103/4000",5.9,155,"1674","1997",26,"MT 6","225/45 R17","2wd"
"245","Peugeot","308 CC Sport","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7.5,177,"1587","1598",5,"MT 6","225/40 R18","2wd"
"246","Peugeot","308 CC Sport","1.6L THP 140 hp AT","EP6T","240/1400-3500",140,"103/6000",8.1,192,"1598","1598",5,"AT 4","225/40 R18","2wd"
"247","Peugeot","308 CC","2.0L HDi FAP 140 hp","DW10","320/2000",140,"103/4000",5.9,155,"1674","1997",26,"MT 6","225/40 R18","2wd"
"248","Peugeot","308 CC Sport","2.0L HDi FAP 136 hp AT","DW10","320/2000",136,"100/4000",7,185,"1695","1997",26,"AT 6","225/40 R18","2wd"
"249","Peugeot","207","1.4L 75 hp","TU3","118/3300",73,"54/5400",6.3,150,"1213/1223","1361",5,"MT","185/65 R15","2wd"
"250","Peugeot","207","1.4L HDi 70 hp","DV4 TD","160/2000",68,"50/4000",4.4,115,"1251/1261","1399",27,"MT","185/65 R15","2wd"
"251","Peugeot","207","1.4L VTi 95 hp","EP3","136/4000",95,"70/6000",5.9,140,"1240/1253","1397",9,"MT","185/65 R15","2wd"
"252","Peugeot","207","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.4,117,"1272/1280","1560",28,"MT","185/65 R15","2wd"
"253","Peugeot","207 Sport","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.1,145,"1275/1275","1598",9,"MT","195/55 R16","2wd"
"254","Peugeot","207 Sport","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.3,115,"1272/1280","1560",28,"MT","195/55 R16","2wd"
"255","Peugeot","207","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.5,120,"1319/1328","1560",28,"MT","195/55 R16","2wd"
"256","Peugeot","207 Sport","1.6L VTi 120 hp AT","EP6","160/4250",120,"88/6000",7,167,"1321","1598",9,"AT 4","195/55 R16","2wd"
"257","Peugeot","207 GT","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.5,120,"1319/1328","1560",28,"MT","205/45 R17","2wd"
"258","Peugeot","207 GT","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7,164,"1356","1598",5,"MT","205/45 R17","2wd"
"259","Peugeot","207 RC","1.6L THP 175 hp","EP6T","240/1600-4500",174,"128/6000",7.2,171,"1325","1598",5,"MT","205/45 R17 W","2wd"
"260","Peugeot","207 CC","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.5,155,"1427","1598",9,"MT","195/55 R16 V","2wd"
"261","Peugeot","207 CC","1.6L VTi 120 hp AT","EP6","160/4250",120,"88/6000",7.2,173,"1466","1598",9,"AT 4","195/55 R16 V","2wd"
"262","Peugeot","207 CC","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",5.2,130,"1488","1560",28,"MT","195/55 R16 V","2wd"
"263","Peugeot","207 CC","1.6L THP 150 hp","EP6T","240/1400-3500",150,"110/5800",7.2,171,"1493","1598",5,"MT","205/45 R17 W","2wd"
"264","Peugeot","207 CC Sport","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",5.2,130,"1488","1560",28,"MT","205/45 R17 W","2wd"
"265","Peugeot","207 SW","1.4L 75 hp","TU3","118/3300",73,"54/5400",6.5,155,"1271","1361",5,"MT","185/65 R15 T","2wd"
"266","Peugeot","207 SW","1.4L VTi 95 hp","EP3","136/4000",95,"70/6000",6.3,150,"1290","1397",9,"MT","185/65 R15 T","2wd"
"267","Peugeot","207 SW","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.5,119,"1339","1560",28,"MT","185/65 R15 H","2wd"
"268","Peugeot","207 SW","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.3,150,"1302","1598",9,"MT","195/55 R16 V","2wd"
"269","Peugeot","207 SW Sport","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.5,117,"1339","1560",28,"MT","195/55 R16 V","2wd"
"270","Peugeot","207 SW Outdoor","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",6.4,152,"1329","1598",9,"MT","205/55 R16 V","2wd"
"271","Peugeot","207 SW","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",4.5,120,"1350","1560",28,"MT","195/55 R16 V","2wd"
"272","Peugeot","207 SW Outdoor","1.6L HDi 90 hp","DV6","215/1750",90,"66/4000",4.7,125,"1373","1560",28,"MT","205/55 R16 V","2wd"
"273","Peugeot","207 SW","1.6L VTi 120 hp AT","EP6","160/4250",120,"88/6000",7,165,"1335","1598",9,"AT 4","195/55 R16 V","2wd"
"274","Peugeot","207 SW Outdoor","1.6L HDi FAP 110 hp","DV6","240/1750",109,"80/4000",5,130,"1387","1560",28,"MT","205/55 R16 V","2wd"
"275","Nissan","Pixo","1.0L 70 hp","","90/3400",68,"50/6000",4.4,103,"925","997",9,"MT","155/65 R14","2wd"
"276","Nissan","Pixo","1.0L 70 hp AT","","90/3400",68,"50/6000",5,128,"?","997",9,"AT 4","155/65 R14","2wd"
"277","Nissan","Micra","1.2L 80 hp","","110/3600",80,"59/5200",5.9,139,"1021/1021","1240",41,"MT","165/70 R14","2wd"
"278","Nissan","Micra","1.4L 88 hp","","128/3200",88,"65/5200",6.3,150,"1032/1032","1386",41,"MT","175/60 R15","2wd"
"279","Nissan","Micra","1.5L dCi 86 hp","","200/1900",86,"63/3750",4.6,120,"1136","1461",31,"MT","165/70 R14","2wd"
"280","Nissan","Micra","1.2L 80 hp AT","","110/3600",80,"59/5200",6.6,159,"1032","1240",41,"AT 4","175/60 R15","2wd"
"281","Nissan","Micra 25 An.","1.5L dCi 86 hp","","200/1900",86,"63/3750",4.6,120,"1136","1461",31,"MT","175/60 R15","2wd"
"282","Nissan","Micra Tekna","1.4L 88 hp","","128/3200",88,"65/5200",6.3,150,"1032","1386",41,"MT","185/50 R16","2wd"
"283","Nissan","Micra Tekna","1.4L 88 hp AT","","128/3200",88,"65/5200",6.8,163,"1032","1386",41,"AT 4","185/50 R16","2wd"
"284","Nissan","Micra Tekna","1.5L dCi 86 hp","","200/1900",86,"63/3750",4.6,120,"1136","1461",31,"MT","185/50 R16","2wd"
"285","Nissan","Micra C+C","1.4L 88 hp","","128/3200",88,"65/5200",6.6,158,"1210","1386",41,"MT","175/60 R15","2wd"
"286","Nissan","Micra C+C","1.6L 110 hp","","153/4400",110,"81/6000",6.7,160,"1225","1598",6,"MT","185/50 R16","2wd"
"287","Nissan","Note","1.4L 88 hp","","128/3200",88,"65/5200",6.3,150,"1167","1386",41,"MT","185/65 R15","2wd"
"288","Nissan","Note","1.5L dCi 86 hp","","200/1900",86,"63/3750",4.9,129,"1240","1461",31,"MT","185/65 R15","2wd"
"289","Nissan","Note","1.6L 110 hp","","153/4400",110,"81/6000",6.6,155,"1182","1598",6,"MT","185/65 R15","2wd"
"290","Nissan","Note Tekna","1.6L 110 hp","","153/4400",110,"81/6000",6.6,156,"1182","1598",6,"MT","185/55 R16","2wd"
"291","Nissan","Note Tekna","1.6L 110 hp AT","","153/4400",110,"81/6000",6.8,159,"1206","1598",6,"AT 4","185/55 R16","2wd"
"292","Nissan","Note Tekna","1.5L dCi 86 hp","","200/1900",86,"63/3750",4.9,129,"1240","1461",31,"MT","185/55 R16","2wd"
"293","Nissan","Note","1.5L dCi 105 hp","","240/2000",103,"76/4000",5.1,136,"1353","1461",15,"MT 6","185/65 R15","2wd"
"294","Nissan","Note Tekna","1.5L dCi 105 hp","","240/2000",103,"76/4000",5.1,136,"1353","1461",15,"MT 6","185/55 R16","2wd"
"295","Nissan","Tiida","1.6L 110 hp","","153/4400",110,"81/6000",6.9,165,"1278","1598",6,"MT","195/65 R15","2wd"
"296","Nissan","Tiida","1.8L 126 hp","","173/4800",126,"93/5200",7.8,188,"1307","1798",41,"MT 6","195/65 R15","2wd"
"297","Nissan","Tiida","1.5L dCi 105 hp","","240/2000",106,"78/4000",5.2,138,"1389","1461",15,"MT 6","195/65 R15","2wd"
"298","Nissan","Tiida","1.6L 110 hp AT","","153/4400",110,"81/6000",7.4,178,"1299","1598",6,"AT 4","195/65 R15","2wd"
"299","Nissan","GT-R","3.8L V6 490 hp AT","","588/3200-5200",486,"357/6400",12.2,298,"1815","3799",34,"AT 6","Av :225/40 ZR20
Ar :285/35 ZR20","4wd"
"300","Nissan","GT-R Premium","3.8L V6 490 hp AT","","588/3200-5200",486,"357/6400",12.2,298,"1815","3799",34,"AT 6","Av :225/40 ZR20
Ar :285/35 ZR20","4wd"
"301","Nissan","Qashqai","1.6L 115 hp","","156/4400",114,"84/6000",6.7,159,"1372","1598",6,"MT","215/65 R16","2wd"
"302","Nissan","Qashqai Acenta","1.6L 115 hp","","156/4400",114,"84/6000",6.7,159,"1372","1598",6,"MT","215/60 R17","2wd"
"303","Nissan","Qashqai Tekna Sp.","1.6L 115 hp","","156/4400",114,"84/6000",6.7,159,"1372","1598",6,"MT","215/55 R18","2wd"
"304","Nissan","Qashqai","2.0L 140 hp","","196/4800",141,"104/6000",8.1,192,"1431","1997",3,"MT 6","215/65 R16","2wd"
"305","Nissan","Qashqai Acenta","2.0L 140 hp","","196/4800",141,"104/6000",8.1,192,"1431","1997",3,"MT 6","215/60 R17","2wd"
"306","Nissan","Qashqai Tekna Sp.","2.0L 140 hp","","196/4800",141,"104/6000",8.1,192,"1431","1997",3,"MT 6","215/55 R18","2wd"
"307","Nissan","Qashqai","2.0L 140 hp hpT","","196/4800",141,"104/6000",7.9,189,"1453","1997",3,"hpT","215/65 R16","2wd"
"308","Nissan","Qashqai Acenta","2.0L 140 hp hpT","","196/4800",141,"104/6000",7.9,189,"1453","1997",3,"hpT","215/60 R17","2wd"
"309","Nissan","Qashqai Tekna Sp.","2.0L 140 hp hpT","","196/4800",141,"104/6000",7.9,189,"1453","1997",3,"hpT","215/55 R18","2wd"
"310","Nissan","Qashqai","1.5L dCi 105 hp","","240/2000",106,"78/4000",5.2,139,"1482","1461",15,"MT 6","215/65 R16","2wd"
"311","Nissan","Qashqai Acenta","1.5L dCi 105 hp","","240/2000",106,"78/4000",5.2,139,"1482","1461",15,"MT 6","215/60 R17","2wd"
"312","Nissan","Qashqai Tekna Sp.","1.5L dCi 105 hp","","240/2000",106,"78/4000",5.2,139,"1482","1461",15,"MT 6","215/55 R18","2wd"
"313","Nissan","Qashqai","2.0L dCi 150 hp","","340/2000",150,"110/4000",6.6,174,"1595","1995",19,"MT 6","215/65 R16","2wd"
"314","Nissan","Qashqai Acenta","2.0L dCi 150 hp","","340/2000",150,"110/4000",6.6,174,"1595","1995",19,"MT 6","215/60 R17","2wd"
"315","Nissan","Qashqai Tekna Sp.","2.0L dCi 150 hp","","340/2000",150,"110/4000",6.6,174,"1595","1995",19,"MT 6","215/55 R18","2wd"
"316","Nissan","Qashqai Acenta","2.0L 140 hp 4x4","","196/4800",141,"104/6000",8.4,199,"1490","1997",3,"MT 6","215/60 R17","4wd"
"317","Nissan","Qashqai Tekna Sp.","2.0L 140 hp 4x4","","196/4800",141,"104/6000",8.4,199,"1490","1997",3,"MT 6","215/55 R18","4wd"
"318","Nissan","Qashqai Acenta","2.0L 140 hp hpT 4x4","","196/4800",141,"104/6000",8.3,198,"1529","1997",3,"hpT","215/60 R17","4wd"
"319","Nissan","Qashqai Tekna Sp.","2.0L 140 hp hpT 4x4","","196/4800",141,"104/6000",8.3,198,"1529","1997",3,"hpT","215/55 R18","4wd"
"320","Nissan","Qashqai","2.0L dCi 150 hp 4x4","","340/2000",150,"110/4000",6.9,184,"1657","1995",19,"MT 6","215/65 R16","4wd"
"321","Nissan","Qashqai Acenta","2.0L dCi 150 hp 4x4","","340/2000",150,"110/4000",6.9,184,"1657","1995",19,"MT 6","215/60 R17","4wd"
"322","Nissan","Qashqai Tekna Sp.","2.0L dCi 150 hp 4x4","","340/2000",150,"110/4000",6.9,184,"1657","1995",19,"MT 6","215/55 R18","4wd"
"323","Nissan","Qashqai","2.0L dCi 150 hp 4x4 AT","","340/2000",150,"110/4000",7.8,208,"1689","1995",19,"AT 6","215/65 R16","4wd"
"324","Nissan","Qashqai Acenta","2.0L dCi 150 hp 4x4 AT","","340/2000",150,"110/4000",7.8,208,"1689","1995",19,"AT 6","215/60 R17","4wd"
"325","Nissan","Qashqai Tekna Sp.","2.0L dCi 150 hp 4x4 AT","","340/2000",150,"110/4000",7.8,208,"1689","1995",19,"AT 6","215/55 R18","4wd"
"326","Nissan","Qashqai +2","1.6L 115 hp","","156/4400",114,"84/6000",7,165,"1604","1598",6,"MT","215/65 R16","2wd"
"327","Nissan","Qashqai +2 Acenta","1.6L 115 hp","","156/4400",114,"84/6000",7,165,"1604","1598",6,"MT","215/60 R17","2wd"
"328","Nissan","Qashqai +2 Tekna Sp.","1.6L 115 hp","","156/4400",114,"84/6000",7,165,"1604","1598",6,"MT","215/55 R18","2wd"
"329","Nissan","Qashqai +2","2.0L 140 hp","","196/4800",141,"104/6000",8.4,197,"1551","1997",3,"MT 6","215/65 R16","2wd"
"330","Nissan","Qashqai +2 Acenta","2.0L 140 hp","","196/4800",141,"104/6000",8.4,197,"1551","1997",3,"MT 6","215/60 R17","2wd"
"331","Nissan","Qashqai +2 Tekna Sp.","2.0L 140 hp","","196/4800",141,"104/6000",8.4,197,"1551","1997",3,"MT 6","215/55 R18","2wd"
"332","Nissan","Qashqai +2","1.5L dCi 105 hp","","240/2000",106,"78/4000",5.7,149,"1586","1461",15,"MT 6","215/65 R16","2wd"
"333","Nissan","Qashqai +2 Acenta","1.5L dCi 105 hp","","240/2000",106,"78/4000",5.7,149,"1586","1461",15,"MT 6","215/60 R17","2wd"
"334","Nissan","Qashqai +2 Tekna Sp.","1.5L dCi 105 hp","","240/2000",106,"78/4000",5.7,149,"1586","1461",15,"MT 6","215/55 R18","2wd"
"335","Nissan","Qashqai +2","2.0L dCi 150 hp","","340/2000",150,"110/4000",6.7,177,"1706","1995",17,"MT 6","215/65 R16","2wd"
"336","Nissan","Qashqai +2 Acenta","2.0L dCi 150 hp","","340/2000",150,"110/4000",6.7,177,"1706","1995",17,"MT 6","215/60 R17","2wd"
"337","Nissan","Qashqai +2 Tekna Sp.","2.0L dCi 150 hp","","340/2000",150,"110/4000",6.7,177,"1706","1995",17,"MT 6","215/55 R18","2wd"
"338","Nissan","Qashqai +2 Acenta","2.0L 140 hp 4x4","","196/4800",141,"104/6000",8.6,205,"1604","1997",3,"MT 6","215/60 R17","4wd"
"339","Nissan","Qashqai +2 Tekna Sp.","2.0L 140 hp 4x4","","196/4800",141,"104/6000",8.6,205,"1604","1997",3,"MT 6","215/55 R18","4wd"
"340","Nissan","Qashqai +2 Acenta","2.0L 140 hp hpT 4x4","","196/4800",141,"104/6000",8.5,199,"1604","1997",3,"hpT","215/60 R17","4wd"
"341","Nissan","Qashqai +2 Tekna Sp.","2.0L 140 hp hpT 4x4","","196/4800",141,"104/6000",8.5,199,"1604","1997",3,"hpT","215/55 R18","4wd"
"342","Nissan","Qashqai +2","2.0L dCi 150 hp 4x4","","340/2000",150,"110/4000",7,188,"1771","1995",17,"MT 6","215/65 R16","4wd"
"343","Nissan","Qashqai +2 Acenta","2.0L dCi 150 hp 4x4","","340/2000",150,"110/4000",7,188,"1771","1995",17,"MT 6","215/60 R17","4wd"
"344","Nissan","Qashqai +2 Tekna Sp.","2.0L dCi 150 hp 4x4","","340/2000",150,"110/4000",7,188,"1771","1995",17,"MT 6","215/55 R18","4wd"
"345","Nissan","Qashqai +2","2.0L dCi 150 hp 4x4 AT","","340/2000",150,"110/4000",7.9,209,"1807","1995",17,"AT 6","215/65 R16","4wd"
